Timestamp	Rule	Class	ID	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
10.000000	0	class1	-1174188435	------	7.000000	0.622267	0.607977	0.638195	0.304400	0.204658	0.578386	2.055194	1.000000	0.339627	0.215954	0.194267	0.795342	0.420612	0.053674	0.607977	
10.000000	1	class2	537803402	------	5.000000	0.601600	0.609007	0.669909	0.411200	0.293880	0.601214	1.741844	1.000000	0.408785	0.218013	0.275467	0.706120	0.511893	0.054186	0.609007	
------	------	------	------	2.000000	6.000000	0.611933	0.608492	0.654052	0.357800	0.249269	0.589800	1.898519	1.000000	0.374206	0.216983	0.234867	0.750731	0.466252	0.053930	0.608492	
11.000000	0	class1	-1174188435	------	7.000000	0.611733	0.597104	0.617252	0.307600	0.218186	0.567817	1.890105	1.000000	0.328413	0.194209	0.189867	0.781814	0.412395	0.048248	0.597104	
11.000000	1	class2	319490256	------	7.000000	0.597867	0.606316	0.671092	0.401733	0.286997	0.596856	1.740888	1.000000	0.401350	0.212633	0.269600	0.713003	0.499629	0.052825	0.606316	
------	------	------	------	2.000000	7.000000	0.604800	0.601710	0.644172	0.354667	0.252592	0.582337	1.815497	1.000000	0.364882	0.203421	0.229733	0.747408	0.456012	0.050536	0.601710	
12.000000	0	class1	2093296283	------	7.000000	0.606533	0.591380	0.610132	0.302667	0.218572	0.560011	1.836155	1.000000	0.319419	0.182760	0.184667	0.781428	0.401333	0.045400	0.591380	
12.000000	1	class2	537803402	------	5.000000	0.591467	0.599338	0.660476	0.409200	0.301941	0.591152	1.657995	1.000000	0.398154	0.198676	0.270267	0.698059	0.500617	0.049353	0.599338	
------	------	------	------	2.000000	6.000000	0.599000	0.595359	0.635304	0.355933	0.260257	0.575581	1.747075	1.000000	0.358786	0.190718	0.227467	0.739743	0.450975	0.047376	0.595359	
13.000000	0	class1	2093296283	------	7.000000	0.609067	0.592255	0.602509	0.308267	0.224475	0.563185	1.821960	1.000000	0.322081	0.184509	0.185733	0.775525	0.408984	0.045739	0.592255	
13.000000	1	class2	-946979306	------	7.000000	0.580533	0.590197	0.656850	0.402933	0.304463	0.580720	1.592497	1.000000	0.386864	0.180393	0.264667	0.695537	0.484856	0.044719	0.590197	
------	------	------	------	2.000000	7.000000	0.594800	0.591226	0.629679	0.355600	0.264469	0.571952	1.707228	1.000000	0.354473	0.182451	0.225200	0.735531	0.446920	0.045229	0.591226	
14.000000	0	class1	-1578773151	------	6.000000	0.601733	0.593288	0.620489	0.321467	0.232706	0.567197	1.801769	1.000000	0.333705	0.186577	0.199467	0.767294	0.419283	0.046534	0.593288	
14.000000	1	class2	1007653648	------	6.000000	0.588000	0.593137	0.640803	0.398667	0.301009	0.583615	1.618835	1.000000	0.382741	0.186275	0.255467	0.698991	0.487284	0.046459	0.593137	
------	------	------	------	2.000000	6.000000	0.594867	0.593213	0.630646	0.360067	0.266857	0.575406	1.710302	1.000000	0.358223	0.186426	0.227467	0.733143	0.453283	0.046497	0.593213	
15.000000	0	class1	-1578773151	------	6.000000	0.610800	0.595878	0.615318	0.306400	0.218218	0.566136	1.878738	1.000000	0.326333	0.191756	0.188533	0.781782	0.409974	0.047630	0.595878	
15.000000	1	class2	1001933590	------	7.000000	0.587200	0.594713	0.653784	0.414000	0.311685	0.587301	1.607750	1.000000	0.396020	0.189426	0.270667	0.688315	0.501111	0.047051	0.594713	
------	------	------	------	2.000000	6.500000	0.599000	0.595296	0.634551	0.360200	0.264951	0.576719	1.743244	1.000000	0.361177	0.190591	0.229600	0.735049	0.455542	0.047341	0.595296	
16.000000	0	class1	-1578773151	------	6.000000	0.615733	0.596787	0.608850	0.301333	0.214251	0.566081	1.903489	1.000000	0.323156	0.193573	0.183467	0.785749	0.407825	0.047907	0.596787	
16.000000	1	class2	2014626122	------	6.000000	0.593200	0.602344	0.671015	0.419067	0.306461	0.595400	1.667907	1.000000	0.408721	0.204688	0.281200	0.693539	0.511149	0.050657	0.602344	
------	------	------	------	2.000000	6.000000	0.604467	0.599565	0.639932	0.360200	0.260356	0.580741	1.785698	1.000000	0.365939	0.199131	0.232333	0.739644	0.459487	0.049282	0.599565	
17.000000	0	class1	-462658777	------	5.000000	0.610000	0.592993	0.606766	0.303467	0.218880	0.562361	1.849720	1.000000	0.320715	0.185987	0.184133	0.781120	0.404867	0.046117	0.592993	
17.000000	1	class2	-1048578940	------	6.000000	0.581733	0.597889	0.692246	0.330133	0.223395	0.570554	1.876379	1.000000	0.353329	0.195778	0.228533	0.776605	0.419173	0.048545	0.597889	
------	------	------	------	2.000000	5.500000	0.595867	0.595441	0.649506	0.316800	0.221137	0.566457	1.863049	1.000000	0.337022	0.190883	0.206333	0.778863	0.412020	0.047331	0.595441	
18.000000	0	class1	-462658777	------	5.000000	0.606533	0.592640	0.616438	0.301733	0.215813	0.560831	1.858519	1.000000	0.320985	0.185280	0.186000	0.784187	0.401093	0.046076	0.592640	
18.000000	1	class2	-1048578940	------	6.000000	0.585067	0.598136	0.685563	0.326933	0.221679	0.570351	1.885388	1.000000	0.350720	0.196272	0.224133	0.778321	0.417951	0.048810	0.598136	
------	------	------	------	2.000000	5.500000	0.595800	0.595388	0.651001	0.314333	0.218746	0.565591	1.871954	1.000000	0.335852	0.190776	0.205067	0.781254	0.409522	0.047443	0.595388	
19.000000	0	class1	-462658777	------	5.000000	0.607733	0.594921	0.628339	0.294533	0.205713	0.560521	1.922847	1.000000	0.320554	0.189841	0.185067	0.794287	0.395554	0.047264	0.594921	
19.000000	1	class2	-1048578940	------	6.000000	0.590667	0.602323	0.688807	0.325200	0.216301	0.574366	1.946118	1.000000	0.353684	0.204646	0.224000	0.783699	0.420947	0.050950	0.602323	
------	------	------	------	2.000000	5.500000	0.599200	0.598622	0.658573	0.309867	0.211007	0.567443	1.934482	1.000000	0.337119	0.197244	0.204533	0.788993	0.408251	0.049107	0.598622	
20.000000	0	class1	-462658777	------	5.000000	0.614133	0.601370	0.633319	0.302533	0.207948	0.570339	1.974959	1.000000	0.331794	0.202741	0.191600	0.792052	0.410689	0.050458	0.601370	
20.000000	1	class2	-714718518	------	5.000000	0.591467	0.603434	0.690370	0.328133	0.217777	0.576339	1.949907	1.000000	0.356708	0.206867	0.226533	0.782223	0.424644	0.051485	0.603434	
------	------	------	------	2.000000	5.000000	0.602800	0.602402	0.661844	0.315333	0.212862	0.573339	1.962433	1.000000	0.344251	0.204804	0.209067	0.787138	0.417666	0.050972	0.602402	
21.000000	0	class1	-1402924139	------	5.000000	0.612000	0.600530	0.635403	0.302800	0.208302	0.569290	1.965233	1.000000	0.331496	0.201060	0.192400	0.791698	0.409362	0.050084	0.600530	
