Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
9.000000	5	class1	------	3.000000	0.550400	0.504325	0.542373	0.023600	0.019694	0.166690	1.439228	1.000000	0.027682	0.008650	0.012800	0.980306	0.028344	0.002142	0.504325	
9.000000	6	class2	------	3.000000	0.453600	0.501198	0.619048	0.008400	0.007086	0.097031	1.338166	1.000000	0.009427	0.002396	0.005200	0.992914	0.009482	0.000593	0.501198	
------	------	------	7.000000	3.714286	0.529029	0.501222	0.486528	0.072171	0.071034	0.216759	1.167289	0.714286	0.062525	0.002445	0.033314	0.928966	0.073479	0.000606	0.501222	
10.000000	0	class1	------	12.000000	0.554400	0.500440	0.500000	0.004000	0.003608	0.066874	1.244165	1.000000	0.004468	0.000881	0.002000	0.996392	0.004488	0.000218	0.500440	
10.000000	1	class2	------	3.000000	0.447600	0.501716	0.857143	0.002800	0.000898	0.065766	4.822511	1.000000	0.004326	0.003431	0.002400	0.999102	0.004329	0.000848	0.501716	
------	------	------	2.000000	7.500000	0.501000	0.501078	0.678571	0.003400	0.002253	0.066320	3.033338	1.000000	0.004397	0.002156	0.002200	0.997747	0.004409	0.000533	0.501078	
11.000000	0	class1	------	13.000000	0.540800	0.500870	1.000000	0.000800	0.000000	0.041703	INFINITY	1.000000	0.001739	0.001739	0.000800	1.000000	0.001739	0.000432	0.500870	
11.000000	1	class2	------	4.000000	0.463200	0.502770	0.785714	0.005600	0.002609	0.090149	3.123457	1.000000	0.008130	0.005539	0.004400	0.997391	0.008148	0.001376	0.502770	
------	------	------	2.000000	8.500000	0.502000	0.501820	0.892857	0.003200	0.001304	0.065926	INFINITY	1.000000	0.004935	0.003639	0.002600	0.998696	0.004944	0.000904	0.501820	
12.000000	0	class1	------	1.000000	0.590400	0.561649	0.668493	0.146000	0.089431	0.440119	2.378695	1.000000	0.192429	0.123298	0.097600	0.910569	0.212729	0.030615	0.561649	
