Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
10.000000	0	class1	------	3.000000	0.538800	0.500819	0.607143	0.002800	0.002044	0.060611	1.801134	1.000000	0.003672	0.001637	0.001700	0.997956	0.003681	0.000407	0.500819	
10.000000	1	class2	------	2.000000	0.508200	0.536098	0.668605	0.137600	0.098744	0.392506	1.731144	1.000000	0.157588	0.072196	0.092000	0.901256	0.170940	0.017944	0.536098	
10.000000	2	class2	------	2.000000	0.515800	0.516169	0.554392	0.496400	0.478995	0.516147	1.067514	1.000000	0.362391	0.032339	0.275200	0.521005	0.511334	0.008038	0.516169	
10.000000	3	class2	------	3.000000	0.479700	0.516291	0.901345	0.022300	0.004764	0.192792	7.839414	1.000000	0.037195	0.032583	0.020100	0.995236	0.037347	0.008098	0.516291	
10.000000	4	class2	------	2.000000	0.467900	0.500733	0.543385	0.070300	0.069511	0.256990	1.021101	1.000000	0.066982	0.001467	0.038200	0.930489	0.070977	0.000365	0.500733	
10.000000	5	class2	------	3.000000	0.461000	0.498934	0.382353	0.003400	0.004547	0.049035	0.531171	0.000000	0.002406	-0.002132	0.001300	0.995453	0.002415	-0.000530	0.498934	
10.000000	6	class2	------	2.000000	0.474800	0.493495	0.525510	0.254800	0.261802	0.428553	0.950308	0.000000	0.203156	-0.013009	0.133900	0.738198	0.248792	-0.003233	0.493495	
10.000000	7	class2	------	2.000000	0.485400	0.504465	0.547049	0.250800	0.245994	0.438422	1.036301	1.000000	0.210494	0.008930	0.137200	0.754006	0.254924	0.002219	0.504465	
------	------	------	8.000000	2.375000	0.491450	0.508376	0.591223	0.154800	0.145800	0.291882	1.997261	0.750000	0.130486	0.016751	0.087450	0.854200	0.162551	0.004163	0.508376	
11.000000	0	class1	------	3.000000	0.539900	0.506125	0.730435	0.011500	0.005799	0.133956	3.112577	1.000000	0.017930	0.012250	0.008400	0.994201	0.018049	0.003048	0.506125	
11.000000	1	class1	------	2.000000	0.538300	0.506520	0.545906	0.040300	0.034231	0.213666	1.380938	1.000000	0.045483	0.013040	0.022000	0.965769	0.047271	0.003244	0.506520	
11.000000	2	class1	------	2.000000	0.537900	0.508427	0.522449	0.073500	0.065657	0.277655	1.256686	1.000000	0.076723	0.016853	0.038400	0.934343	0.082510	0.004193	0.508427	
11.000000	3	class2	------	3.000000	0.472900	0.506764	0.837838	0.011100	0.003868	0.131639	4.497880	1.000000	0.017338	0.013529	0.009300	0.996132	0.017396	0.003366	0.506764	
11.000000	4	class2	------	3.000000	0.470000	0.503218	0.613861	0.020200	0.016760	0.151017	1.383963	1.000000	0.022861	0.006435	0.012400	0.983240	0.023195	0.001601	0.503218	
------	------	------	5.000000	2.600000	0.511800	0.506211	0.650098	0.031320	0.025263	0.181587	2.326409	1.000000	0.036067	0.012421	0.018100	0.974737	0.037684	0.003090	0.506211	
12.000000	0	class1	------	3.000000	0.547500	0.500507	0.531250	0.003200	0.002741	0.061196	1.370164	1.000000	0.003743	0.001015	0.001700	0.997259	0.003755	0.000251	0.500507	
12.000000	1	class2	------	3.000000	0.460100	0.506474	0.855769	0.010400	0.003313	0.127310	4.907765	1.000000	0.016217	0.012948	0.008900	0.996687	0.016262	0.003208	0.506474	
12.000000	2	class2	------	3.000000	0.468000	0.513329	0.846154	0.022100	0.007510	0.184150	4.549333	1.000000	0.033957	0.026657	0.018700	0.992490	0.034168	0.006605	0.513329	
------	------	------	3.000000	3.000000	0.491867	0.506770	0.744391	0.011900	0.004522	0.124218	3.609088	1.000000	0.017972	0.013540	0.009767	0.995478	0.018062	0.003355	0.506770	
13.000000	0	class1	------	14.000000	0.542900	0.500127	0.666667	0.000300	0.000184	0.020913	2.374453	1.000000	0.000437	0.000253	0.000200	0.999816	0.000437	0.000063	0.500127	
13.000000	1	class2	------	3.000000	0.472000	0.511874	0.710227	0.035200	0.022310	0.212203	2.064459	1.000000	0.045208	0.023748	0.025000	0.977690	0.046057	0.005893	0.511874	
13.000000	2	class2	------	3.000000	0.460300	0.501355	0.575610	0.020500	0.019029	0.146032	1.142429	1.000000	0.021396	0.002710	0.011800	0.980971	0.021739	0.000673	0.501355	
13.000000	3	class2	------	3.000000	0.457500	0.498396	0.506787	0.022100	0.023841	0.141922	0.865482	0.000000	0.020228	-0.003207	0.011200	0.976159	0.020634	-0.000796	0.498396	
13.000000	4	class2	------	3.000000	0.486900	0.517407	0.602343	0.145100	0.126203	0.375095	1.275857	1.000000	0.145545	0.034814	0.087400	0.873797	0.161017	0.008640	0.517407	
13.000000	5	class2	------	1.000000	0.498000	0.498227	0.541030	0.497200	0.499125	0.498220	0.992894	0.000000	0.348898	-0.003547	0.269000	0.500875	0.495578	-0.000880	0.498227	
13.000000	6	class2	------	1.000000	0.498100	0.498405	0.541205	0.496300	0.498031	0.498392	0.993595	0.000000	0.348605	-0.003190	0.268600	0.501969	0.494842	-0.000792	0.498405	
13.000000	7	class2	------	12.000000	0.456700	0.499453	0.000000	0.000500	0.001094	0.000000	0.000000	0.000000	0.000000	-0.001094	0.000000	0.998906	0.000000	-0.000271	0.499453	
13.000000	8	class2	------	2.000000	0.487600	0.508790	0.560032	0.253200	0.243657	0.444506	1.072155	1.000000	0.216753	0.017581	0.141800	0.756343	0.261238	0.004363	0.508790	
------	------	------	9.000000	4.666667	0.484444	0.503782	0.522656	0.163378	0.159275	0.259698	1.197925	0.555556	0.127452	0.007563	0.090556	0.840725	0.166838	0.001877	0.503782	
14.000000	0	class1	------	11.000000	0.535600	0.502969	0.740741	0.005400	0.002627	0.092427	3.260936	1.000000	0.008540	0.005939	0.004000	0.997373	0.008565	0.001478	0.502969	
14.000000	1	class2	------	3.000000	0.488900	0.505523	0.544064	0.248500	0.242612	0.438312	1.045530	1.000000	0.209191	0.011046	0.135200	0.757388	0.253659	0.002749	0.505523	
14.000000	2	class2	------	2.000000	0.458600	0.484789	0.458904	0.102200	0.118415	0.278519	0.743083	0.000000	0.079721	-0.030423	0.046900	0.881585	0.087992	-0.007573	0.484789	
14.000000	3	class2	------	2.000000	0.484700	0.516352	0.911628	0.021500	0.004069	0.191372	9.038412	1.000000	0.036642	0.032704	0.019600	0.995931	0.036773	0.008141	0.516352	
14.000000	4	class2	------	3.000000	0.485000	0.512975	0.616883	0.077000	0.063169	0.288944	1.410786	1.000000	0.084444	0.025949	0.047500	0.936831	0.089118	0.006459	0.512975	
------	------	------	5.000000	4.200000	0.490560	0.504522	0.654444	0.090920	0.086178	0.257915	3.099750	0.800000	0.083708	0.009043	0.050640	0.913822	0.095222	0.002251	0.504522	
15.000000	0	class1	------	3.000000	0.536700	0.500465	0.527778	0.003600	0.003169	0.063924	1.293673	1.000000	0.004084	0.000931	0.001900	0.996831	0.004099	0.000231	0.500465	
15.000000	1	class1	------	2.000000	0.515500	0.496883	0.457178	0.245200	0.248089	0.426443	0.974872	0.000000	0.187898	-0.006234	0.112100	0.751911	0.241855	-0.001550	0.496883	
15.000000	2	class1	------	1.000000	0.592000	0.566402	0.692042	0.144500	0.082945	0.444808	2.601118	1.000000	0.196850	0.132805	0.100000	0.917055	0.215750	0.033024	0.566402	
15.000000	3	class1	------	4.000000	0.532300	0.496717	0.335938	0.012800	0.015843	0.095552	0.585557	0.000000	0.009110	-0.006566	0.004300	0.984157	0.009277	-0.001633	0.496717	
15.000000	4	class1	------	3.000000	0.519100	0.519701	0.482833	0.506800	0.488537	0.519636	1.080655	1.000000	0.337238	0.039403	0.244700	0.511463	0.527940	0.009798	0.519701	
15.000000	5	class1	------	3.000000	0.569200	0.537976	0.735252	0.069500	0.034296	0.326293	3.214571	1.000000	0.106039	0.075952	0.051100	0.965704	0.110248	0.018887	0.537976	
15.000000	6	class2	------	3.000000	0.483400	0.510649	0.578039	0.127500	0.116073	0.348463	1.183492	1.000000	0.124852	0.021298	0.073700	0.883927	0.137372	0.005296	0.510649	
15.000000	7	class2	------	3.000000	0.502200	0.528156	0.632082	0.146500	0.116289	0.390549	1.484234	1.000000	0.156843	0.056311	0.092600	0.883711	0.172600	0.014003	0.528156	
15.000000	8	class2	------	2.000000	0.488200	0.519629	0.674189	0.070900	0.049838	0.290956	1.787705	1.000000	0.085418	0.039258	0.047800	0.950162	0.089096	0.009762	0.519629	
------	------	------	9.000000	2.666667	0.526511	0.519620	0.568370	0.147478	0.128342	0.322958	1.578431	0.777778	0.134259	0.039240	0.080911	0.871658	0.167582	0.009758	0.519620	
16.000000	0	class1	------	3.000000	0.533800	0.500045	0.472222	0.003600	0.003558	0.060292	1.025299	1.000000	0.003633	0.000090	0.001700	0.996442	0.003648	0.000022	0.500045	
16.000000	1	class2	------	2.000000	0.485400	0.518165	1.000000	0.019400	0.000000	0.190603	INFINITY	1.000000	0.036330	0.036330	0.019400	1.000000	0.036330	0.009040	0.518165	
------	------	------	2.000000	2.500000	0.509600	0.509105	0.736111	0.011500	0.001779	0.125447	INFINITY	1.000000	0.019981	0.018210	0.010550	0.998221	0.019989	0.004531	0.509105	
17.000000	0	class1	------	12.000000	0.539700	0.499987	0.454545	0.001100	0.001112	0.032944	0.977474	0.000000	0.001085	-0.000025	0.000500	0.998888	0.001086	-0.000006	0.499987	
17.000000	1	class1	------	3.000000	0.541100	0.503079	0.529412	0.022100	0.019266	0.157905	1.319589	1.000000	0.024862	0.006157	0.011700	0.980734	0.025424	0.001530	0.503079	
17.000000	2	class1	------	3.000000	0.515200	0.515089	0.475271	0.497400	0.483512	0.515087	1.062413	1.000000	0.327787	0.030177	0.236400	0.516488	0.513690	0.007497	0.515089	
17.000000	3	class1	------	3.000000	0.540900	0.502044	0.547009	0.011700	0.009818	0.117348	1.416415	1.000000	0.013749	0.004089	0.006400	0.990182	0.013907	0.001016	0.502044	
17.000000	4	class1	------	2.000000	0.589100	0.561094	0.672017	0.143300	0.087069	0.437078	2.403337	1.000000	0.189866	0.122188	0.096300	0.912931	0.209257	0.030353	0.561094	
17.000000	5	class2	------	2.000000	0.480400	0.518711	1.000000	0.020200	0.000000	0.193446	INFINITY	1.000000	0.037421	0.037421	0.020200	1.000000	0.037421	0.009296	0.518711	
------	------	------	6.000000	4.166667	0.534400	0.516667	0.613042	0.115967	0.100130	0.242301	INFINITY	0.833333	0.099128	0.033334	0.061917	0.899870	0.133464	0.008281	0.516667	
18.000000	0	class1	------	11.000000	0.541100	0.500718	0.714286	0.001400	0.000740	0.046633	2.940696	1.000000	0.002174	0.001436	0.001000	0.999260	0.002176	0.000357	0.500718	
18.000000	1	class1	------	3.000000	0.541200	0.501349	0.544304	0.007900	0.006660	0.096414	1.404999	1.000000	0.009285	0.002697	0.004300	0.993340	0.009358	0.000670	0.501349	
18.000000	2	class2	------	3.000000	0.465400	0.505099	0.786408	0.010300	0.004788	0.122124	3.130056	1.000000	0.014925	0.010198	0.008100	0.995212	0.014986	0.002533	0.505099	
------	------	------	3.000000	5.666667	0.515900	0.502389	0.681666	0.006533	0.004063	0.088391	2.491917	1.000000	0.008795	0.004777	0.004467	0.995937	0.008840	0.001187	0.502389	
19.000000	0	class1	------	2.000000	0.555800	0.518420	0.966851	0.018100	0.001113	0.194706	34.087870	1.000000	0.037903	0.036839	0.017500	0.998887	0.037953	0.009154	0.518420	
19.000000	1	class1	------	3.000000	0.558000	0.524954	0.630286	0.073300	0.050288	0.308475	1.992442	1.000000	0.094633	0.049908	0.046200	0.949712	0.100195	0.012401	0.524954	
19.000000	2	class2	------	4.000000	0.461600	0.499697	0.524272	0.010300	0.010627	0.099569	0.942941	0.000000	0.009930	-0.000606	0.005400	0.989373	0.010020	-0.000151	0.499697	
------	------	------	3.000000	3.000000	0.525133	0.514357	0.707136	0.033900	0.020676	0.200916	12.341084	0.666667	0.047489	0.028714	0.023033	0.979324	0.049389	0.007135	0.514357	
20.000000	0	class1	------	13.000000	0.542700	0.499833	0.250000	0.000400	0.000553	0.014787	0.395902	0.000000	0.000219	-0.000334	0.000100	0.999447	0.000219	-0.000083	0.499833	
20.000000	1	class2	------	5.000000	0.462600	0.505048	0.982456	0.005700	0.000219	0.101552	47.149751	1.000000	0.010313	0.010096	0.005600	0.999781	0.010315	0.002505	0.505048	
------	------	------	2.000000	9.000000	0.502650	0.502441	0.616228	0.003050	0.000386	0.058169	23.772827	0.500000	0.005266	0.004881	0.002850	0.999614	0.005267	0.001211	0.502441	
21.000000	0	class1	------	3.000000	0.534000	0.503245	0.658824	0.008500	0.005458	0.109008	2.188945	1.000000	0.011874	0.006490	0.005600	0.994542	0.011948	0.001616	0.503245	
21.000000	1	class1	------	1.000000	0.529200	0.529271	0.497897	0.499300	0.471861	0.529270	1.124066	1.000000	0.345566	0.058542	0.248600	0.528139	0.530403	0.014578	0.529271	
21.000000	2	class1	------	3.000000	0.548300	0.526544	0.556366	0.150800	0.125918	0.395558	1.421611	1.000000	0.156647	0.053088	0.083900	0.874082	0.179006	0.013220	0.526544	
21.000000	3	class1	------	3.000000	0.534200	0.507443	0.520111	0.072100	0.065123	0.273492	1.228570	1.000000	0.074508	0.014885	0.037500	0.934877	0.080009	0.003707	0.507443	
21.000000	4	class1	------	3.000000	0.522600	0.507084	0.482718	0.251700	0.245059	0.442382	1.057816	1.000000	0.202872	0.014168	0.121500	0.754941	0.259228	0.003528	0.507084	
21.000000	5	class1	------	2.000000	0.535700	0.508691	0.532353	0.068000	0.059853	0.269466	1.290406	1.000000	0.072328	0.017382	0.036200	0.940147	0.077235	0.004328	0.508691	
21.000000	6	class1	------	2.000000	0.523200	0.507196	0.483395	0.243900	0.237154	0.438054	1.060689	1.000000	0.198251	0.014393	0.117900	0.762846	0.251547	0.003584	0.507196	
21.000000	7	class2	------	3.000000	0.481700	0.508727	0.594477	0.068800	0.059526	0.269070	1.293225	1.000000	0.073140	0.017455	0.040900	0.940474	0.076981	0.004347	0.508727	
21.000000	8	class2	------	2.000000	0.482500	0.512623	0.852041	0.019600	0.006187	0.176742	5.080116	1.000000	0.031262	0.025245	0.016700	0.993813	0.031432	0.006287	0.512623	
21.000000	9	class2	------	3.000000	0.469300	0.498440	0.508721	0.034400	0.036057	0.178186	0.913496	0.000000	0.031923	-0.003119	0.017500	0.963943	0.032938	-0.000777	0.498440	
------	------	------	10.000000	2.500000	0.516070	0.510926	0.568690	0.141710	0.131220	0.308123	1.665894	0.900000	0.119837	0.021853	0.072630	0.868780	0.153073	0.005442	0.510926	
22.000000	0	class1	------	13.000000	0.536500	0.499814	0.000000	0.000200	0.000373	0.000000	0.000000	0.000000	0.000000	-0.000373	0.000000	0.999627	0.000000	-0.000093	0.499814	
22.000000	1	class1	------	2.000000	0.547100	0.512036	0.742991	0.021400	0.010248	0.184302	3.348912	1.000000	0.033916	0.024071	0.015900	0.989752	0.034319	0.005985	0.512036	
22.000000	2	class1	------	12.000000	0.536300	0.499627	0.000000	0.000400	0.000745	0.000000	0.000000	0.000000	0.000000	-0.000745	0.000000	0.999255	0.000000	-0.000185	0.499627	
22.000000	3	class1	------	4.000000	0.537800	0.501438	0.622222	0.004500	0.003168	0.077617	1.908000	1.000000	0.006022	0.002876	0.002800	0.996832	0.006044	0.000715	0.501438	
22.000000	4	class2	------	3.000000	0.482400	0.517794	1.000000	0.019100	0.000000	0.188647	INFINITY	1.000000	0.035588	0.035588	0.019100	1.000000	0.035588	0.008849	0.517794	
------	------	------	5.000000	6.800000	0.528020	0.506142	0.473043	0.009120	0.002907	0.090113	INFINITY	0.600000	0.015105	0.012283	0.007560	0.997093	0.015190	0.003054	0.506142	
23.000000	0	class1	------	12.000000	0.539900	0.499771	0.333333	0.000900	0.001111	0.025529	0.587429	0.000000	0.000652	-0.000458	0.000300	0.998889	0.000652	-0.000114	0.499771	
23.000000	1	class2	------	3.000000	0.468400	0.507831	0.921569	0.010200	0.001740	0.131798	10.001203	1.000000	0.017375	0.015661	0.009400	0.998260	0.017401	0.003890	0.507831	
23.000000	2	class2	------	1.000000	0.494500	0.523200	0.619738	0.144900	0.119835	0.382510	1.387200	1.000000	0.150848	0.046400	0.089800	0.880165	0.166235	0.011525	0.523200	
23.000000	3	class2	------	3.000000	0.477100	0.512096	0.631659	0.065700	0.052632	0.269778	1.459645	1.000000	0.073529	0.024192	0.041500	0.947368	0.076823	0.006009	0.512096	
23.000000	4	class2	------	3.000000	0.475600	0.513184	0.735119	0.033600	0.019356	0.211752	2.362225	1.000000	0.044983	0.026368	0.024700	0.980644	0.045724	0.006549	0.513184	
23.000000	5	class2	------	2.000000	0.470300	0.505057	0.577093	0.068100	0.062636	0.261140	1.161487	1.000000	0.069069	0.010115	0.039300	0.937364	0.072751	0.002512	0.505057	
23.000000	6	class2	------	2.000000	0.475000	0.513616	0.865385	0.020800	0.006090	0.181984	5.471783	1.000000	0.033149	0.027231	0.018000	0.993910	0.033321	0.006764	0.513616	
------	------	------	7.000000	3.714286	0.485829	0.510679	0.669128	0.049171	0.037628	0.209213	3.204425	0.857143	0.055658	0.021358	0.031857	0.962372	0.058987	0.005305	0.510679	
24.000000	0	class1	------	12.000000	0.543800	0.500783	0.888889	0.000900	0.000184	0.041840	9.509302	1.000000	0.001751	0.001567	0.000800	0.999816	0.001751	0.000389	0.500783	
24.000000	1	class2	------	2.000000	0.521800	0.522510	0.565728	0.493700	0.469249	0.522445	1.095942	1.000000	0.368713	0.045021	0.279300	0.530751	0.514270	0.011172	0.522510	
24.000000	2	class2	------	3.000000	0.472600	0.505075	0.563460	0.123700	0.118188	0.336407	1.085876	1.000000	0.116731	0.010150	0.069700	0.881812	0.128337	0.002519	0.505075	
24.000000	3	class2	------	3.000000	0.461700	0.502109	0.576433	0.031400	0.029109	0.179881	1.144902	1.000000	0.032531	0.004218	0.018100	0.970891	0.033327	0.001047	0.502109	
24.000000	4	class2	------	3.000000	0.459300	0.501671	0.639535	0.008600	0.006785	0.100291	1.492596	1.000000	0.010070	0.003342	0.005500	0.993215	0.010127	0.000829	0.501671	
24.000000	5	class2	------	1.000000	0.530800	0.531456	0.574631	0.495100	0.460932	0.531402	1.136489	1.000000	0.377471	0.062912	0.284500	0.539068	0.523845	0.015611	0.531456	
24.000000	6	class2	------	2.000000	0.458900	0.500122	0.545872	0.021800	0.021668	0.146412	1.011237	1.000000	0.021519	0.000243	0.011900	0.978332	0.021911	0.000060	0.500122	
24.000000	7	class2	------	2.000000	0.482600	0.513395	0.589298	0.143900	0.129350	0.368706	1.207118	1.000000	0.140817	0.026791	0.084800	0.870650	0.156141	0.006648	0.513395	
24.000000	8	class2	------	2.000000	0.459900	0.496770	0.520833	0.072000	0.075509	0.252655	0.914436	0.000000	0.064924	-0.006461	0.037500	0.924491	0.069048	-0.001603	0.496770	
24.000000	9	class2	------	2.000000	0.488700	0.500791	0.544191	0.359800	0.358941	0.480746	1.004408	1.000000	0.276906	0.001582	0.195800	0.641059	0.360523	0.000393	0.500791	
24.000000	10	class2	------	3.000000	0.463200	0.503125	0.584906	0.037100	0.033705	0.196492	1.185442	1.000000	0.038854	0.006250	0.021700	0.966295	0.039956	0.001551	0.503125	
24.000000	11	class2	------	3.000000	0.474600	0.495974	0.535161	0.251700	0.256074	0.429545	0.968552	0.000000	0.204060	-0.008053	0.134700	0.743926	0.248021	-0.001998	0.495974	
24.000000	12	class2	------	2.000000	0.461100	0.497961	0.529086	0.072200	0.074415	0.255153	0.945205	0.000000	0.066193	-0.004078	0.038200	0.925585	0.070337	-0.001012	0.497961	
------	------	------	13.000000	3.076923	0.483000	0.505519	0.589079	0.162454	0.156470	0.295536	1.746270	0.769231	0.132349	0.011037	0.090962	0.843530	0.167507	0.002739	0.505519	
25.000000	0	class1	------	3.000000	0.543300	0.510622	0.990099	0.010100	0.000187	0.146382	114.316331	1.000000	0.021427	0.021244	0.010000	0.999813	0.021432	0.005287	0.510622	
25.000000	1	class1	------	4.000000	0.528000	0.496817	0.419162	0.033400	0.036370	0.170038	0.824963	0.000000	0.028807	-0.006366	0.014000	0.963630	0.030004	-0.001584	0.496817	
