Timestamp	Rule	Class	NumRules	NumVars	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm	ExecTime_ms
28.000000	------	------	4.000000	2.500000	0.520825	0.513781	0.672533	0.139275	0.126245	0.251338	5.378396	1.000000	0.107252	0.027561	0.072375	0.873755	0.153806	0.006864	0.513781	323.000000
29.000000	------	------	10.000000	2.500000	0.497240	0.511294	0.568293	0.186460	0.174463	0.334536	1.214535	0.800000	0.154438	0.022588	0.104730	0.825537	0.197051	0.005623	0.511294	332.000000
30.000000	------	------	2.000000	2.500000	0.520850	0.515604	0.683948	0.080450	0.064625	0.279409	2.532533	1.000000	0.088566	0.031207	0.050650	0.935375	0.095832	0.007737	0.515604	335.000000
31.000000	------	------	3.000000	9.000000	0.517833	0.505215	0.482548	0.006633	0.001030	0.069633	5.596287	0.666667	0.011438	0.010430	0.006133	0.998970	0.011459	0.002593	0.505215	328.000000
32.000000	------	------	7.000000	3.857143	0.484957	0.506613	0.602455	0.082386	0.075276	0.222288	1.438312	0.714286	0.078026	0.013225	0.047671	0.924724	0.088502	0.003286	0.506613	321.000000
33.000000	------	------	6.000000	2.333333	0.489183	0.507131	0.598338	0.113850	0.106193	0.210959	1.656878	0.833333	0.092533	0.014262	0.065050	0.893807	0.120455	0.003542	0.507131	299.000000
34.000000	------	------	2.000000	7.000000	0.500350	0.500708	0.435897	0.005350	0.004700	0.061463	0.888619	0.500000	0.006055	0.001416	0.002850	0.995300	0.006116	0.000352	0.500708	336.000000
35.000000	------	------	11.000000	4.545455	0.529700	0.506133	0.486505	0.082818	0.077284	0.193380	1.278437	0.545455	0.067590	0.012265	0.040318	0.922716	0.089550	0.003036	0.506133	299.000000
36.000000	------	------	10.000000	3.500000	0.528310	0.507978	0.500638	0.145350	0.138010	0.296393	1.153441	0.800000	0.118044	0.015956	0.070830	0.861990	0.153965	0.003963	0.507978	286.000000
37.000000	------	------	2.000000	4.000000	0.503450	0.503614	0.789465	0.005650	0.002217	0.094857	4.450863	1.000000	0.009424	0.007229	0.004550	0.997783	0.009446	0.001793	0.503614	295.000000
38.000000	------	------	2.000000	3.000000	0.512950	0.512573	0.865979	0.015550	0.002413	0.161537	INFINITY	1.000000	0.027515	0.025145	0.014250	0.997587	0.027558	0.006249	0.512573	330.000000
39.000000	------	------	6.000000	4.000000	0.492717	0.514534	0.678346	0.073450	0.057710	0.258437	INFINITY	1.000000	0.080899	0.029067	0.046983	0.942290	0.086778	0.007216	0.514534	333.000000
40.000000	------	------	2.000000	3.000000	0.509600	0.508928	0.640625	0.011900	0.002121	0.119575	INFINITY	0.500000	0.019971	0.017856	0.010750	0.997879	0.019976	0.004432	0.508928	288.000000
41.000000	------	------	2.000000	3.000000	0.505150	0.505445	0.803727	0.006750	0.001673	0.104408	14.965923	1.000000	0.012550	0.010891	0.005950	0.998327	0.012563	0.002706	0.505445	307.000000
42.000000	------	------	8.000000	3.375000	0.488225	0.508904	0.603110	0.127775	0.118145	0.256946	1.383867	0.875000	0.109227	0.017807	0.073600	0.881855	0.135952	0.004421	0.508904	348.000000
43.000000	------	------	3.000000	3.333333	0.520300	0.506693	0.674312	0.015567	0.008432	0.140863	INFINITY	1.000000	0.021634	0.013386	0.011000	0.991568	0.021818	0.003323	0.506693	345.000000
44.000000	------	------	2.000000	3.500000	0.511800	0.511166	0.982759	0.011900	0.000093	0.137421	INFINITY	1.000000	0.022424	0.022332	0.011850	0.999907	0.022425	0.005549	0.511166	330.000000
45.000000	------	------	7.000000	2.571429	0.539000	0.512287	0.506164	0.107843	0.096886	0.230422	1.260682	0.857143	0.089602	0.024574	0.054386	0.903114	0.121460	0.006074	0.512287	313.000000
46.000000	------	------	11.000000	3.818182	0.483473	0.505940	0.625470	0.145982	0.139541	0.264698	1.684263	0.818182	0.118256	0.011881	0.082155	0.860459	0.151422	0.002949	0.505940	303.000000
47.000000	------	------	3.000000	6.000000	0.491700	0.504647	0.634162	0.017267	0.012947	0.130466	1.785910	1.000000	0.021836	0.009294	0.010867	0.987053	0.022242	0.002310	0.504647	280.000000
48.000000	------	------	11.000000	2.545455	0.495755	0.508444	0.574693	0.134464	0.125679	0.288672	1.468243	0.818182	0.115976	0.016889	0.074655	0.874321	0.142568	0.004207	0.508444	291.000000
49.000000	------	------	5.000000	4.800000	0.473900	0.499833	0.534448	0.007220	0.007410	0.077119	1.052546	0.800000	0.007014	-0.000333	0.003820	0.992590	0.007076	-0.000083	0.499833	297.000000
50.000000	------	------	4.000000	3.000000	0.489325	0.506919	0.587591	0.053325	0.046129	0.210385	1.346077	0.750000	0.055549	0.013839	0.031550	0.953871	0.059967	0.003437	0.506919	284.000000
51.000000	------	------	5.000000	3.200000	0.528600	0.502832	0.614687	0.029360	0.026756	0.151446	8.763262	0.800000	0.030428	0.005665	0.014760	0.973244	0.032420	0.001403	0.502832	295.000000
