Timestamp	Rule	ID	Consequent	FPR	G-Mean	WRAcc_Norm(Diversity)
1.000000	0	9245275	class1	0.002972	0.077768	0.501547
1.000000	1	1518961750	class2	0.000000	0.077094	0.502972
2.000000	0	681507685	class1	0.000000	0.083010	0.503445
2.000000	1	1004875611	class1	0.000000	0.083010	0.503445
2.000000	2	-666438384	class2	0.006891	0.124801	0.504396
2.000000	3	-904558856	class2	0.006891	0.124801	0.504396
3.000000	0	1864799997	class1	0.010370	0.127869	0.503076
3.000000	1	2015503824	class2	0.000000	0.201843	0.520370
4.000000	0	-1091030845	class1	0.007570	0.104608	0.501728
4.000000	1	1281710462	class2	0.000000	0.072794	0.502650
5.000000	0	-861326705	class1	0.003676	0.102409	0.503425
5.000000	1	1602526089	class1	0.003676	0.102409	0.503425
5.000000	2	-2088804842	class2	0.007895	0.123771	0.503773
6.000000	0	1741562609	class1	0.005287	0.188482	0.515214
6.000000	1	-301229988	class2	0.022959	0.141154	0.498717
6.000000	2	-1739640252	class2	0.057823	0.266761	0.508853
7.000000	0	-1324173757	class1	0.001489	0.105921	0.504873
7.000000	1	-1637533628	class2	0.012100	0.181939	0.510703
8.000000	0	1404004827	class1	0.009016	0.159473	0.508324
8.000000	1	961384208	class2	0.005988	0.115943	0.503768
9.000000	0	-217623997	class1	0.024559	0.151054	0.499417
9.000000	1	-1969317477	class1	0.048350	0.283369	0.518014
9.000000	2	39412355	class1	0.122794	0.402439	0.530917
9.000000	3	257068025	class1	0.000000	0.081752	0.503342
9.000000	4	-1327576893	class1	0.258634	0.422343	0.490984
9.000000	5	61949455	class1	0.019954	0.148682	0.501301
9.000000	6	-1316055868	class2	0.005848	0.132470	0.505902
10.000000	0	-1298234121	class1	0.000000	0.072900	0.502657
10.000000	1	1046658012	class2	0.000000	0.060390	0.501823
11.000000	0	-1204039449	class1	0.000000	0.051894	0.501346
11.000000	1	-1736028988	class2	0.000000	0.100504	0.505051
12.000000	0	-1265801347	class1	0.088148	0.444337	0.564187
12.000000	1	718286672	class2	0.060870	0.275365	0.509936
12.000000	2	-69375012	class2	0.028696	0.179936	0.502319
12.000000	3	-1734093168	class2	0.130435	0.358023	0.508486
12.000000	4	543405328	class2	0.000000	0.072008	0.502593
12.000000	5	-580500720	class2	0.015652	0.155119	0.504396
12.000000	6	799687004	class2	0.296522	0.424616	0.479887
12.000000	7	1572320016	class2	0.132174	0.362130	0.509469
12.000000	8	1569411088	class2	0.460000	0.521153	0.521481
12.000000	9	1420544068	class2	0.235652	0.420970	0.498100
13.000000	0	465789891	class1	0.000000	0.051142	0.501308
13.000000	1	-1513984944	class2	0.002616	0.188106	0.516431
14.000000	0	-903725233	class1	0.002172	0.219437	0.523043
14.000000	1	-2100728944	class2	0.005362	0.110652	0.503474
15.000000	0	-1762188425	class1	0.001441	0.130620	0.507823
15.000000	1	650839695	class1	0.489193	0.520156	0.520242
15.000000	2	-1865700081	class1	0.014409	0.165759	0.506734
15.000000	3	92652739	class1	0.071326	0.290429	0.509751
15.000000	4	1159225487	class1	0.124640	0.381616	0.520864
15.000000	5	-1801162557	class1	0.006484	0.149453	0.507999
15.000000	6	496678275	class1	0.153458	0.382316	0.509602
15.000000	7	-637176369	class1	0.219020	0.457484	0.524483
15.000000	8	-954947377	class1	0.061239	0.289096	0.513895
15.000000	9	-1322194801	class1	0.017291	0.260859	0.525977
15.000000	10	1019988862	class2	0.000899	0.080488	0.502792
16.000000	0	663220565	class1	0.002208	0.245642	0.529133
16.000000	1	1885893176	class2	0.097283	0.386596	0.534140
16.000000	2	-1335031844	class2	0.063979	0.281438	0.510321
16.000000	3	-1844988668	class2	0.067485	0.286952	0.510408
16.000000	4	-138903972	class2	0.234882	0.438801	0.508387
16.000000	5	1193040650	class2	0.019281	0.139587	0.500293
16.000000	6	1085022032	class2	0.051709	0.270680	0.512777
16.000000	7	160784440	class2	0.001753	0.085706	0.502803
17.000000	0	1703539459	class1	0.004458	0.121102	0.505137
17.000000	1	1891440068	class2	0.098787	0.385538	0.533073
18.000000	0	1562532095	class1	0.000732	0.066407	0.501841
18.000000	1	-1993749180	class2	0.003530	0.114547	0.504819
18.000000	2	468883996	class2	0.005296	0.150191	0.508691
19.000000	0	-1821029001	class1	0.009043	0.082210	0.498889
19.000000	1	701809167	class1	0.010550	0.091843	0.498988
19.000000	2	193174287	class1	0.036172	0.214509	0.505785
19.000000	3	1721009540	class2	0.467178	0.530157	0.530164
19.000000	4	1286353512	class2	0.000000	0.077644	0.503014
19.000000	5	18971524	class2	0.029838	0.327827	0.540469
19.000000	6	760023656	class2	0.011935	0.127988	0.502322
19.000000	7	587839632	class2	0.014493	0.223065	0.517999
19.000000	8	-187732924	class2	0.128730	0.374842	0.516268
19.000000	9	-1341872776	class2	0.133845	0.389140	0.520493
19.000000	10	1085200784	class2	0.107417	0.366779	0.521650
20.000000	0	-1497686385	class1	0.030967	0.216722	0.508751
20.000000	1	-1829177905	class1	0.002266	0.214043	0.521826
20.000000	2	-154254985	class1	0.037764	0.322358	0.535114
20.000000	3	-1990815600	class2	0.017007	0.098243	0.496406
20.000000	4	847825232	class2	0.018707	0.158743	0.503486
21.000000	0	-348882033	class1	0.000000	0.127982	0.508190
21.000000	1	-601937712	class2	0.005172	0.178672	0.513459
22.000000	0	1397636367	class1	0.460059	0.539134	0.539134
22.000000	1	372131215	class1	0.007396	0.110022	0.502399
22.000000	2	-148529341	class1	0.077663	0.436363	0.564392
22.000000	3	-637182129	class1	0.246302	0.447484	0.509689
22.000000	4	-1523826410	class2	0.004355	0.111889	0.504109
23.000000	0	1450484553	class1	0.000735	0.066202	0.501825
23.000000	1	-1555838780	class2	0.000000	0.038348	0.500735
24.000000	0	1096550909	class1	0.250563	0.504926	0.544813
24.000000	1	1574773647	class1	0.472618	0.523315	0.523331
24.000000	2	-1829177905	class1	0.003798	0.241039	0.524260
24.000000	3	170769911	class1	0.038260	0.353928	0.545994
24.000000	4	-1668466031	class1	0.000000	0.105545	0.505570
24.000000	5	-1387868581	class1	0.224306	0.466212	0.527950
24.000000	6	-1789856881	class1	0.123031	0.375868	0.519033
24.000000	7	386935008	class2	0.000000	0.090841	0.504126
24.000000	8	-1513985136	class2	0.002571	0.154739	0.510718
25.000000	0	277321935	class1	0.008166	0.178404	0.511962
25.000000	1	-1513985136	class2	0.000000	0.147360	0.504826
26.000000	0	2131516175	class1	0.005011	0.079464	0.500668
26.000000	1	-1504176317	class1	0.005727	0.268541	0.533401
26.000000	2	1815124843	class1	0.000000	0.052152	0.501360
26.000000	3	1814631644	class2	0.048051	0.259732	0.511408
26.000000	4	1891440068	class2	0.105168	0.380476	0.528304
26.000000	5	1974888668	class2	0.007253	0.125035	0.504248
26.000000	6	1655540624	class2	0.000907	0.075640	0.502410
