Timestamp	Rule	ID	Consequent	FPR	G-Mean	WRAcc_Norm(Diversity)
26.000000	7	451750800	class2	0.043518	0.206033	0.500432
26.000000	8	-1235290672	class2	0.011786	0.159580	0.506992
27.000000	0	-903725233	class1	0.003693	0.214656	0.521278
27.000000	1	1193633936	class2	0.002618	0.085827	0.502384
28.000000	0	1459850179	class1	0.059898	0.264238	0.507186
28.000000	1	-561720793	class1	0.021183	0.161131	0.502671
28.000000	2	-1504331761	class1	0.000000	0.139470	0.509726
28.000000	3	873735631	class1	0.016801	0.141401	0.501768
28.000000	4	1326225219	class1	0.022644	0.227704	0.515203
28.000000	5	-1789406756	class2	0.013263	0.165497	0.507247
28.000000	6	-1904724732	class2	0.014147	0.180016	0.509362
28.000000	7	1792407160	class2	0.000000	0.066202	0.502191
29.000000	0	-1504331761	class1	0.000000	0.224279	0.511178
29.000000	1	-604570096	class2	0.000860	0.066961	0.501814
30.000000	0	987314319	class1	0.000000	0.051120	0.501307
30.000000	1	1885893176	class2	0.119338	0.404346	0.533156
30.000000	2	-144671792	class2	0.018293	0.150032	0.502318
30.000000	3	611632592	class2	0.060105	0.309735	0.520983
30.000000	4	-403319536	class2	0.027003	0.204306	0.507948
31.000000	0	700024771	class1	0.000000	0.077615	0.503012
31.000000	1	364191172	class2	0.022375	0.202280	0.509739
31.000000	2	-1528690864	class2	0.133391	0.380897	0.517012
31.000000	3	-76366960	class2	0.002582	0.133757	0.507678
31.000000	4	-312151472	class2	0.252151	0.439761	0.503222
31.000000	5	-898100772	class2	0.246988	0.428990	0.498703
31.000000	6	373122512	class2	0.257315	0.443278	0.503630
31.000000	7	397348624	class2	0.109294	0.373894	0.523828
32.000000	0	-615262141	class1	0.010393	0.087890	0.498706
32.000000	1	808133002	class2	0.000000	0.196480	0.519302
32.000000	2	-787267760	class2	0.057242	0.292211	0.516665
32.000000	3	1725144976	class2	0.057242	0.292211	0.516665
33.000000	0	-1316674801	class1	0.000000	0.125218	0.507840
33.000000	1	-1419185572	class2	0.031359	0.191152	0.503182
34.000000	0	217496131	class1	0.006015	0.127050	0.505112
34.000000	1	-615714584	class2	0.014530	0.176409	0.508525
34.000000	2	1224040080	class2	0.000855	0.067137	0.501828
34.000000	3	-1493644208	class2	0.064103	0.281986	0.510430
34.000000	4	-1792344240	class2	0.006838	0.168452	0.510867
34.000000	5	-741516848	class2	0.003419	0.102422	0.503554
35.000000	0	-70647281	class1	0.008772	0.118365	0.502681
35.000000	1	1355130204	class2	0.000000	0.076472	0.502924
36.000000	0	-317871345	class1	0.121302	0.341091	0.505551
36.000000	1	1769456259	class1	0.479290	0.499015	0.499467
36.000000	2	927619011	class1	0.032544	0.185882	0.501585
36.000000	3	1569053775	class1	0.247041	0.460273	0.517159
36.000000	4	1642374735	class1	0.067308	0.277818	0.507722
36.000000	5	1977906319	class1	0.002959	0.128458	0.506796
36.000000	6	1965949078	class2	0.008711	0.111644	0.501932
36.000000	7	-1212197424	class2	0.014808	0.166404	0.506649
37.000000	0	-1276354237	class1	0.003666	0.051295	0.499488
37.000000	1	-609126128	class2	0.000000	0.093796	0.504399
37.000000	2	-967554084	class2	0.025528	0.194588	0.506664
37.000000	3	468883996	class2	0.005282	0.170794	0.512022
38.000000	0	837392387	class1	0.011817	0.185719	0.511544
38.000000	1	632635919	class1	0.034712	0.196841	0.502714
38.000000	2	-1276354237	class1	0.000000	0.108536	0.502618
38.000000	3	-1952318576	class2	0.007853	0.126967	0.504197
39.000000	0	-1829177905	class1	0.002257	0.193623	0.517659
39.000000	1	2079640684	class2	0.000000	0.077586	0.503010
40.000000	0	-1577589001	class1	0.007429	0.134396	0.505384
40.000000	1	2105826191	class1	0.002229	0.072026	0.501485
40.000000	2	-2128184661	class1	0.017088	0.145923	0.502288
40.000000	3	1135311586	class2	0.000000	0.077094	0.502972
40.000000	4	1197442372	class2	0.000000	0.077094	0.502972
41.000000	0	-1765686565	class1	0.013025	0.102925	0.498854
41.000000	1	18965752	class2	0.026834	0.317327	0.538320
42.000000	0	97379867	class1	0.000000	0.066256	0.502195
42.000000	1	1307263096	class2	0.002634	0.117998	0.505663
43.000000	0	-463755877	class1	0.482942	0.528512	0.528639
43.000000	1	2000624923	class1	0.057619	0.278211	0.512257
43.000000	2	-1790220145	class1	0.028052	0.185918	0.503756
43.000000	3	693745103	class1	0.251706	0.451689	0.510472
43.000000	4	-836375729	class1	0.083397	0.444000	0.565838
43.000000	5	-700445861	class1	0.062168	0.281798	0.511253
43.000000	6	-210986377	class1	0.016679	0.152687	0.503515
43.000000	7	919939088	class2	0.024555	0.215849	0.511604
43.000000	8	2021073692	class2	0.049958	0.278908	0.515961
43.000000	9	-792987632	class2	0.034716	0.223079	0.508419
43.000000	10	-820033520	class2	0.111770	0.333336	0.506663
44.000000	0	-1281692413	class1	0.000759	0.100678	0.504692
44.000000	1	-911535012	class2	0.000000	0.082666	0.503417
45.000000	0	-392050545	class1	0.026114	0.201609	0.507811
45.000000	1	1641528976	class2	0.005008	0.113980	0.504024
46.000000	0	-954774577	class1	0.048471	0.283650	0.518042
46.000000	1	1647513097	class1	0.004474	0.170893	0.512431
46.000000	2	255876443	class1	0.085757	0.439615	0.562816
46.000000	3	1723978447	class1	0.255034	0.452106	0.509670
46.000000	4	470306372	class2	0.005177	0.105488	0.503004
47.000000	0	-780194243	class1	0.000000	0.103234	0.505329
47.000000	1	-775536298	class2	0.000000	0.184951	0.517103
47.000000	2	-1516214128	class2	0.039964	0.203038	0.501488
47.000000	3	-1499345840	class2	0.228242	0.417281	0.498689
47.000000	4	1059483204	class2	0.063055	0.276358	0.509229
47.000000	5	-1816627876	class2	0.024867	0.197570	0.507581
47.000000	6	1569232336	class2	0.246004	0.451817	0.512369
47.000000	7	1891440068	class2	0.106572	0.407199	0.539509
47.000000	8	-1239719024	class2	0.476909	0.509924	0.510090
48.000000	0	-1108448533	class1	0.000751	0.097009	0.504334
48.000000	1	-775536298	class2	0.000000	0.299211	0.519895
49.000000	0	-1509544457	class1	0.025954	0.322417	0.540384
49.000000	1	-775536298	class2	0.000000	0.373552	0.523282
50.000000	0	499056841	class1	0.001387	0.097153	0.504032
50.000000	1	-775536298	class2	0.000000	0.369154	0.518724
50.000000	2	913247132	class2	0.110586	0.379907	0.525844
51.000000	0	942456951	class1	0.002182	0.051583	0.500242
51.000000	1	-775536298	class2	0.000000	0.379523	0.518909
52.000000	0	867634465	class1	0.003720	0.134531	0.507223
52.000000	1	-775536298	class2	0.000000	0.354516	0.515253
53.000000	0	301570011	class1	0.224711	0.462567	0.525637
53.000000	1	650839695	class1	0.489884	0.517990	0.518051
53.000000	2	-530508617	class1	0.020231	0.138976	0.499741
53.000000	3	1102773059	class1	0.071532	0.282610	0.507245
53.000000	4	1048983951	class1	0.070087	0.266133	0.503039
53.000000	5	645329679	class1	0.064306	0.249087	0.501001
53.000000	6	1799897587	class1	0.124277	0.384087	0.522091
53.000000	7	-431490661	class1	0.063584	0.247493	0.500914
53.000000	8	-1672593533	class1	0.482659	0.515837	0.515839
53.000000	9	-775536298	class2	0.000000	0.380347	0.519147
54.000000	0	-1275207165	class1	0.000000	0.083661	0.503500
54.000000	1	-775536298	class2	0.000000	0.406985	0.522476
55.000000	0	-1973631729	class1	0.006061	0.119664	0.504173
55.000000	1	-2004489404	class2	0.107627	0.425651	0.547702
56.000000	0	1349744939	class1	0.001466	0.118591	0.506309
56.000000	1	-1585705200	class2	0.000880	0.104821	0.505058
57.000000	0	-939372221	class1	0.033607	0.199886	0.503868
57.000000	1	-1797081277	class1	0.012696	0.101018	0.498820
57.000000	2	713673615	class1	0.112771	0.346379	0.511229
57.000000	3	-58349437	class1	0.065721	0.270609	0.506330
57.000000	4	-954768625	class1	0.121733	0.392837	0.526989
57.000000	5	1000857597	class1	0.000747	0.071862	0.502211
57.000000	6	-1292400229	class1	0.061240	0.263700	0.506417
57.000000	7	-804049712	class2	0.013781	0.153522	0.505059
58.000000	0	988990839	class1	0.004481	0.092600	0.502066
58.000000	1	808849603	class1	0.001494	0.058653	0.500976
58.000000	2	-2069039501	class1	0.013443	0.159663	0.506198
58.000000	3	1724017661	class1	0.002987	0.082886	0.501952
58.000000	4	2088768806	class2	0.000000	0.094667	0.504481
59.000000	0	-909445105	class1	0.000000	0.149071	0.511111
59.000000	1	2015503824	class2	0.000000	0.214160	0.522932
60.000000	0	-909445105	class1	0.004539	0.230908	0.510372
60.000000	1	-1580417445	class1	0.051437	0.287991	0.518000
60.000000	2	-1513984944	class2	0.005093	0.192032	0.515986
60.000000	3	496261404	class2	0.140068	0.373098	0.510904
60.000000	4	-286599152	class2	0.002547	0.119731	0.505913
60.000000	5	-303241968	class2	0.117997	0.340717	0.506811
60.000000	6	-1321322928	class2	0.060272	0.258493	0.505416
60.000000	7	1574952208	class2	0.455008	0.544053	0.544054
61.000000	0	583965723	class1	0.000000	0.165663	0.513722
61.000000	1	-304655292	class2	0.006861	0.130855	0.505190
61.000000	2	643070136	class2	0.000000	0.072439	0.502624
62.000000	0	1467730127	class1	0.052788	0.270164	0.512134
62.000000	1	-1536864368	class2	0.020779	0.150231	0.501135
62.000000	2	1360571472	class2	0.048485	0.296181	0.521854
62.000000	3	1339596432	class2	0.129004	0.380865	0.518769
62.000000	4	2075972880	class2	0.000866	0.038545	0.500311
62.000000	5	-533799152	class2	0.035498	0.187451	0.500467
62.000000	6	-1433154724	class2	0.017316	0.145561	0.502123
62.000000	7	-847033060	class2	0.020779	0.150231	0.501135
62.000000	8	-917505264	class2	0.045887	0.190206	0.496015
63.000000	0	435737819	class1	0.016566	0.168907	0.506222
63.000000	1	-584537125	class1	0.014307	0.116002	0.499672
63.000000	2	1397451663	class1	0.108434	0.361724	0.519162
63.000000	3	1101723087	class1	0.217620	0.453440	0.522589
63.000000	4	463011983	class1	0.111446	0.363206	0.518509
63.000000	5	688203791	class1	0.452560	0.533789	0.533959
63.000000	6	1153505615	class1	0.070783	0.282980	0.507697
63.000000	7	-1402459673	class1	0.118223	0.384011	0.524506
63.000000	8	2102188739	class1	0.027861	0.213590	0.509533
63.000000	9	-1130033642	class2	0.000000	0.038808	0.500753
64.000000	0	1126234867	class1	0.000000	0.088930	0.503954
64.000000	1	2015503824	class2	0.000000	0.177327	0.514684
65.000000	0	1397457435	class1	0.480799	0.517109	0.517113
65.000000	1	582198467	class1	0.257296	0.420341	0.490300
65.000000	2	-16400393	class1	0.000768	0.100045	0.504624
65.000000	3	1272647375	class1	0.132873	0.369866	0.512445
65.000000	4	1270532495	class1	0.126728	0.345755	0.505083
65.000000	5	-1239903537	class1	0.258065	0.443082	0.503272
65.000000	6	1652881423	class1	0.006144	0.144014	0.507362
65.000000	7	-123447281	class1	0.030722	0.192919	0.503838
65.000000	8	1480888463	class1	0.000000	0.064604	0.502087
65.000000	9	-154249213	class1	0.040707	0.327567	0.535573
65.000000	10	-74935945	class1	0.024578	0.166382	0.501902
65.000000	11	2015503824	class2	0.000000	0.266181	0.515745
66.000000	0	-664275697	class1	0.009969	0.115085	0.501704
66.000000	1	2015503824	class2	0.000000	0.341009	0.519555
67.000000	0	-26924145	class1	0.005128	0.114665	0.504044
67.000000	1	2015503824	class2	0.000000	0.352907	0.517582
68.000000	0	2082010243	class1	0.000000	0.051480	0.501325
68.000000	1	-964264176	class2	0.007951	0.129148	0.504431
69.000000	0	-153664521	class1	0.008112	0.171695	0.510804
69.000000	1	-152809148	class2	0.020979	0.223198	0.514953
69.000000	2	-336113852	class2	0.062937	0.256222	0.503561
69.000000	3	-502002608	class2	0.013986	0.164026	0.506650
69.000000	4	1473065552	class2	0.067308	0.268741	0.505063
69.000000	5	2037986372	class2	0.004371	0.093866	0.502239
70.000000	0	105584859	class1	0.131501	0.345924	0.503140
70.000000	1	-2072186161	class1	0.066122	0.288709	0.511566
70.000000	2	-1971182809	class1	0.014116	0.143191	0.503341
70.000000	3	1940659385	class1	0.000000	0.072106	0.502600
70.000000	4	1510565263	class1	0.007429	0.113586	0.502784
70.000000	5	-1832761969	class1	0.028975	0.200971	0.506310
70.000000	6	-960488497	class1	0.055721	0.286054	0.515467
70.000000	7	1880940176	class2	0.004333	0.130436	0.506377
71.000000	0	1073423835	class1	0.002950	0.114338	0.505081
71.000000	1	1871084868	class2	0.099650	0.415492	0.546045
71.000000	2	-1158887432	class2	0.062063	0.259026	0.504735
71.000000	3	-43441572	class2	0.036713	0.206454	0.503767
71.000000	4	-457236406	class2	0.000000	0.085876	0.503687
71.000000	5	-1946328584	class2	0.058566	0.228189	0.498372
71.000000	6	-182882556	class2	0.013986	0.157236	0.505544
71.000000	7	931878084	class2	0.063811	0.298433	0.515661
72.000000	0	199068757	class1	0.000000	0.077682	0.503017
72.000000	1	-1267781710	class2	0.004310	0.115650	0.504561
73.000000	0	-79465405	class1	0.006589	0.132365	0.505524
73.000000	1	-144671984	class2	0.001764	0.145576	0.509733
74.000000	0	-914728375	class1	0.000734	0.110875	0.505784
74.000000	1	-1625180376	class2	0.000000	0.071690	0.502570
75.000000	0	-250416189	class1	0.005216	0.117238	0.504300
75.000000	1	-279707696	class2	0.062176	0.278513	0.510268
75.000000	2	1887727888	class2	0.017271	0.148218	0.502542
75.000000	3	-1388047140	class2	0.264249	0.424705	0.490454
75.000000	4	1891440068	class2	0.098446	0.407350	0.542804
75.000000	5	871746268	class2	0.050950	0.264598	0.511410
75.000000	6	-1629911600	class2	0.000000	0.077209	0.502981
75.000000	7	371082628	class2	0.462003	0.526323	0.526450
75.000000	8	1958748828	class2	0.460276	0.526022	0.526196
75.000000	9	-70652860	class2	0.019862	0.150469	0.501619
75.000000	10	-946958832	class2	0.033679	0.197188	0.503280
76.000000	0	-1978831013	class1	0.032090	0.206288	0.505938
76.000000	1	-2095702991	class1	0.011940	0.179910	0.510409
76.000000	2	1838009046	class2	0.000000	0.213360	0.522761
77.000000	0	-1205443313	class1	0.009063	0.108613	0.501421
77.000000	1	1935954959	class1	0.049849	0.320328	0.529072
77.000000	2	1707081347	class1	0.016616	0.163581	0.505297
77.000000	3	1203628739	class1	0.001511	0.058277	0.500945
77.000000	4	473834070	class2	0.049320	0.287357	0.518769
78.000000	0	-1969317477	class1	0.056422	0.306777	0.521659
78.000000	1	650833923	class1	0.473645	0.522923	0.522935
78.000000	2	-59343961	class1	0.475872	0.535573	0.535698
78.000000	3	-148535113	class1	0.069042	0.453754	0.576060
78.000000	4	-426112817	class1	0.017075	0.140026	0.501436
78.000000	5	1281480923	class1	0.037120	0.202288	0.502689
78.000000	6	-132115395	class1	0.000000	0.072137	0.502602
78.000000	7	1210252164	class2	0.073721	0.283648	0.506569
78.000000	8	39733492	class2	0.112749	0.377195	0.523803
78.000000	9	1569405316	class2	0.452732	0.534814	0.534955
78.000000	10	-1874871420	class2	0.026886	0.142225	0.496950
78.000000	11	1958748828	class2	0.533219	0.592466	0.529314
78.000000	12	-1983735076	class2	0.058977	0.264312	0.507631
79.000000	0	221999707	class1	0.002941	0.059148	0.500284
79.000000	1	864523588	class2	0.000000	0.081349	0.503309
80.000000	0	1092869217	class1	0.000000	0.088697	0.503934
80.000000	1	-1244127734	class2	0.005245	0.169146	0.511758
81.000000	0	-954947377	class1	0.060519	0.304851	0.519201
81.000000	1	-548101052	class2	0.004496	0.122726	0.505317
82.000000	0	910364681	class1	0.000000	0.071858	0.502582
82.000000	1	-2127865020	class2	0.000000	0.208203	0.521674
83.000000	0	-867679717	class1	0.004332	0.204865	0.518910
83.000000	1	-2127865020	class2	0.000000	0.301620	0.520217
84.000000	0	1171016835	class1	0.000763	0.204988	0.520645
84.000000	1	-2127865020	class2	0.000000	0.340263	0.518688
85.000000	0	-1350359229	class1	0.023105	0.249411	0.520286
85.000000	1	-574687345	class1	0.008664	0.107509	0.501497
85.000000	2	-1894807973	class1	0.000000	0.079234	0.503139
85.000000	3	788118607	class1	0.017329	0.162603	0.504789
85.000000	4	420802243	class1	0.014440	0.160104	0.505784
85.000000	5	-1178762877	class1	0.045487	0.325810	0.532862
85.000000	6	-2127865020	class2	0.000000	0.352713	0.517329
86.000000	0	-1624514813	class1	0.000000	0.076408	0.502919
86.000000	1	-2127865020	class2	0.000000	0.402707	0.522675
87.000000	0	-1850727427	class1	0.000000	0.081752	0.503342
87.000000	1	1891440068	class2	0.114453	0.393642	0.530264
87.000000	2	-2127865020	class2	0.000000	0.347643	0.514198
88.000000	0	1928768067	class1	0.018783	0.231774	0.517982
88.000000	1	-2127865020	class2	0.000000	0.371278	0.518032
89.000000	0	-1854181745	class1	0.004451	0.097499	0.502549
89.000000	1	-1150596209	class1	0.033383	0.185478	0.501104
89.000000	2	-1417605500	class2	0.013889	0.160012	0.506038
90.000000	0	2110320143	class1	0.001461	0.145565	0.509880
90.000000	1	-1293801328	class2	0.000884	0.076410	0.502480
91.000000	0	-759241451	class1	0.024279	0.174765	0.503512
91.000000	1	-426027702	class2	0.000846	0.072846	0.502233
92.000000	0	-1830700029	class1	0.012030	0.153765	0.505951
92.000000	1	576304875	class1	0.000752	0.082659	0.503043
92.000000	2	544151387	class1	0.132331	0.357148	0.507339
92.000000	3	-314723685	class1	0.488722	0.520933	0.521024
92.000000	4	-384761993	class1	0.476692	0.519762	0.519774
92.000000	5	-829891569	class1	0.134586	0.379784	0.516040
92.000000	6	1897933211	class1	0.123308	0.350552	0.508431
92.000000	7	1718079835	class1	0.234586	0.467443	0.525442
92.000000	8	1842614537	class1	0.075940	0.279624	0.504338
92.000000	9	-1054726076	class2	0.000000	0.191943	0.518421
93.000000	0	1651751275	class1	0.001437	0.127366	0.507404
93.000000	1	-1054726076	class2	0.000000	0.278543	0.517241
93.000000	2	-147446768	class2	0.054152	0.281958	0.514950
93.000000	3	961780472	class2	0.058664	0.302148	0.519159
94.000000	0	1025781611	class1	0.002154	0.153089	0.510667
94.000000	1	-1054726076	class2	0.000000	0.365420	0.522613
95.000000	0	-1327749681	class1	0.227481	0.420209	0.500545
95.000000	1	473523663	class1	0.238168	0.452617	0.515370
95.000000	2	-154076233	class1	0.078626	0.420157	0.556485
95.000000	3	277321935	class1	0.005344	0.200301	0.517496
95.000000	4	876896207	class1	0.059542	0.266697	0.508044
95.000000	5	-1054726076	class2	0.000000	0.351283	0.516794
96.000000	0	-564256253	class1	0.009977	0.195054	0.514226
96.000000	1	-1054726076	class2	0.000000	0.408558	0.523408
97.000000	0	-1672772465	class1	0.494913	0.517949	0.518113
97.000000	1	-1288222013	class1	0.007267	0.093979	0.500815
97.000000	2	693745103	class1	0.234738	0.447399	0.513414
97.000000	3	-1903651249	class1	0.021802	0.153289	0.501110
97.000000	4	84101723	class1	0.083576	0.434920	0.561415
97.000000	5	725058831	class1	0.012355	0.114806	0.500495
97.000000	6	1795164251	class1	0.032703	0.321357	0.537029
97.000000	7	1403171727	class1	0.483285	0.517698	0.517699
97.000000	8	1581288573	class1	0.014535	0.148050	0.503854
97.000000	9	-1054726076	class2	0.000000	0.398700	0.520349
98.000000	0	-995790705	class1	0.008154	0.178560	0.511996
98.000000	1	-1054726076	class2	0.000000	0.411925	0.522239
99.000000	0	-512991013	class1	0.005121	0.083814	0.500970
99.000000	1	-1774278233	class1	0.000000	0.066431	0.502207
99.000000	2	-1425961521	class1	0.001463	0.072718	0.501916
99.000000	3	-1054726076	class2	0.000000	0.395320	0.519751
100.000000	0	718107919	class1	0.043769	0.203723	0.499817
100.000000	1	-1604942001	class1	0.000000	0.153093	0.511719
100.000000	2	-1054726076	class2	0.000000	0.366422	0.516320
101.000000	0	781628675	class1	0.005891	0.174549	0.512378
101.000000	1	-1054726076	class2	0.000000	0.374427	0.518041
102.000000	0	1124452583	class1	0.003745	0.134008	0.507140
102.000000	1	-1054726076	class2	0.000000	0.364480	0.516854
103.000000	0	1896432265	class1	0.000000	0.064469	0.502078
103.000000	1	-1054726076	class2	0.000000	0.363425	0.516962
104.000000	0	-1808417469	class1	0.004468	0.149571	0.509002
104.000000	1	-1054726076	class2	0.000000	0.364122	0.517126
105.000000	0	-1012255805	class1	0.004405	0.114555	0.504388
105.000000	1	-1054726076	class2	0.000000	0.404146	0.522394
106.000000	0	-1215561201	class1	0.000731	0.072777	0.502285
106.000000	1	-1054726076	class2	0.000000	0.377178	0.517909
107.000000	0	-1827837937	class1	0.000000	0.131876	0.508696
107.000000	1	-1054726076	class2	0.000000	0.339419	0.513704
108.000000	0	1280656859	class1	0.001442	0.059906	0.501076
108.000000	1	-1362386492	class2	0.001797	0.206062	0.520370
109.000000	0	901827675	class1	0.002851	0.134832	0.507690
109.000000	1	1617245340	class2	0.008204	0.130253	0.504451
110.000000	0	901827675	class1	0.002274	0.190114	0.507286
110.000000	1	182400790	class2	0.000000	0.137673	0.509477
111.000000	0	-542912613	class1	0.000000	0.066343	0.502201
111.000000	1	-542763364	class2	0.016725	0.167673	0.505934
112.000000	0	587773769	class1	0.000730	0.122610	0.507157
112.000000	1	49604868	class2	0.112389	0.377539	0.524097
112.000000	2	1033157572	class2	0.259292	0.431263	0.495901
